iter	Logloss
228	0.600240668
229	0.6002207253
230	0.6002004211
231	0.6001245986
232	0.6001028315
233	0.6000158703
234	0.5999500798
235	0.5998654786
236	0.5998011848
237	0.5997631258
238	0.5996818253
239	0.5996395192
240	0.5995703025
241	0.5995238764
242	0.5995023896
243	0.5994568005
244	0.5993899451
245	0.5993533889
246	0.5992826549
247	0.5992379357
248	0.5991675437
249	0.5990986277
250	0.5990894448
251	0.5989663051
252	0.5989262282
253	0.598847962
254	0.5987987295
255	0.5987134068
256	0.5986876552
257	0.5985934804
258	0.5985876728
259	0.5985429621
260	0.5984922873
261	0.598460658
262	0.5983975957
263	0.598349932
264	0.5982968473
265	0.5982371513
266	0.5981782671
267	0.598158293
268	0.5981301838
269	0.5980913832
270	0.598024324
271	0.5979909472
272	0.5979447551
273	0.597918074
274	0.5978539798
275	0.597761906
276	0.5977171776
277	0.5976318855
278	0.597596006
279	0.5975388071
280	0.5975209053
281	0.5975036531
282	0.5974552759
283	0.5974232257
284	0.5973795234
285	0.5972688634
286	0.5972309151
287	0.5971207519
288	0.5971062034
289	0.597035223
290	0.5969824512
291	0.59693097
292	0.5968797383
293	0.5968645372
294	0.5968234546
295	0.5967420404
296	0.5967132672
297	0.5966953489
298	0.5966267118
299	0.5965808725
300	0.5965323364
301	0.5965076147
302	0.5964293113
303	0.5963865624
304	0.5963587592
305	0.5963250838
306	0.5963021355
307	0.5962417006
308	0.5961629777
309	0.5961346105
310	0.5961140808
311	0.5960399297
312	0.5960002395
313	0.5959909448
314	0.5959627311
315	0.5959038052
316	0.5958734738
317	0.5958547968
318	0.5958042144
319	0.5957803321
320	0.5957665752
321	0.5957298178
322	0.5957121452
323	0.5956922848
324	0.595658492
325	0.595618265
326	0.5955851911
327	0.5955450646
328	0.5954986598
329	0.5954700072
330	0.5954185935
331	0.5954095445
332	0.5953817347
333	0.5953587806
334	0.5953245929
335	0.5953018224
336	0.595289867
337	0.5952566909
338	0.5952435538
339	0.5952091781
340	0.5951702858
341	0.5951004509
342	0.5950773309
343	0.5950581154
344	0.5950347326
345	0.5950094788
346	0.5949880939
347	0.5949709991
348	0.5949440779
349	0.5949147571
350	0.5948990708
351	0.5948504286
352	0.5948194302
353	0.5947429373
354	0.5946756058
355	0.5946484079
356	0.5945852754
357	0.5945735228
